t_seconds,v_wx,v_wy,v_wz
105,-0.6710828149437351,-3.289072020974078,-0.6382897233155789
106,-0.6712656400488245,-3.2890157944132365,-0.63771947809933
107,-0.6714484651539138,-3.288959567852395,-0.6371492328830813
108,-0.671631290259003,-3.2889033412915536,-0.6365789876668325
109,-0.6718141153640923,-3.288847114730712,-0.6360087424505838
110,-0.6719969404691816,-3.2887908881698706,-0.635438497234335
111,-0.672179765574271,-3.288734661609029,-0.6348682520180863
112,-0.6723625906793602,-3.2886784350481877,-0.6342980068018375
113,-0.6725454157844495,-3.288622208487346,-0.6337277615855887
114,-0.6727282408895388,-3.2885659819265047,-0.6331575163693399
115,-0.672911065994628,-3.2885097553656633,-0.6325872711530912
116,-0.6730938910997173,-3.288453528804822,-0.6320170259368424
117,-0.6732767162048067,-3.2883973022439803,-0.6314467807205937
118,-0.6734595413098959,-3.288341075683139,-0.6308765355043449
119,-0.6736423664149852,-3.2882848491222973,-0.6303062902880961
120,-0.6738251915200745,-3.288228622561456,-0.6297360450718473
121,-0.6740080166251637,-3.2881723960006144,-0.6291657998555986
122,-0.6741908417302531,-3.288116169439773,-0.6285955546393498
123,-0.6743736668353424,-3.2880599428789314,-0.6280253094231011
124,-0.6745564919404317,-3.28800371631809,-0.6274550642068523
125,-0.6747393170455209,-3.2879474897572485,-0.6268848189906036
126,-0.6749221421506102,-3.287891263196407,-0.6263145737743547
127,-0.6751049672556995,-3.2878350366355655,-0.625744328558106
128,-0.6752877923607888,-3.287778810074724,-0.6251740833418572
129,-0.6754706174658781,-3.2877225835138826,-0.6246038381256085
130,-0.6756534425709674,-3.287666356953041,-0.6240335929093597
131,-0.6758362676760566,-3.2876101303921996,-0.623463347693111
132,-0.6760190927811459,-3.287553903831358,-0.6228931024768621
133,-0.6762019178862353,-3.2874976772705167,-0.6223228572606134
134,-0.6763847429913246,-3.287441450709675,-0.6217526120443646
135,-0.6765675680964138,-3.2873852241488337,-0.6211823668281158
136,-0.6767503932015031,-3.2873289975879922,-0.6206121216118671
137,-0.6769332183065924,-3.2872727710271508,-0.6200418763956184
138,-0.6771160434116817,-3.2872165444663093,-0.6194716311793695
139,-0.677298868516771,-3.287160317905468,-0.6189013859631207
140,-0.6774816936218603,-3.2871040913446263,-0.618331140746872
141,-0.6776645187269495,-3.287047864783785,-0.6177608955306232
142,-0.6778473438320388,-3.2869916382229434,-0.6171906503143745
143,-0.6780301689371281,-3.286935411662102,-0.6166204050981257
144,-0.6782129940422175,-3.2868791851012604,-0.616050159881877
145,-0.6783958191473067,-3.286822958540419,-0.6154799146656281
146,-0.678578644252396,-3.2867667319795775,-0.6149096694493794
147,-0.6787614693574853,-3.286710505418736,-0.6143394242331306
148,-0.6789442944625745,-3.2866542788578945,-0.6137691790168819
149,-0.6791271195676639,-3.286598052297053,-0.6131989338006331
150,-0.6793099446727532,-3.2865418257362116,-0.6126286885843844
151,-0.6794927697778425,-3.28648559917537,-0.6120584433681355
152,-0.6796755948829317,-3.2864293726145286,-0.6114881981518868
153,-0.679858419988021,-3.286373146053687,-0.610917952935638
154,-0.6800412450931104,-3.2863169194928457,-0.6103477077193893
155,-0.6802240701981996,-3.286260692932004,-0.6097774625031405
156,-0.6804068953032889,-3.2862044663711627,-0.6092072172868918
157,-0.6805897204083782,-3.2861482398103212,-0.6086369720706429
158,-0.6807725455134674,-3.2860920132494797,-0.6080667268543942
159,-0.6809553706185567,-3.2860357866886383,-0.6074964816381454
160,-0.6811381957236461,-3.285979560127797,-0.6069262364218967
161,-0.6813210208287354,-3.2859233335669553,-0.6063559912056479
162,-0.6815038459338246,-3.285867107006114,-0.6057857459893992
163,-0.6816866710389139,-3.2858108804452724,-0.6052155007731503
164,-0.6818694961440032,-3.285754653884431,-0.6046452555569016
165,-0.6820523212490925,-3.2856984273235894,-0.6040750103406528
166,-0.6822351463541818,-3.285642200762748,-0.6035047651244041
167,-0.6824179714592711,-3.285585974201907,-0.6029345199081553
168,-0.6826007965643603,-3.2855297476410654,-0.6023642746919065
169,-0.6827836216694496,-3.285473521080224,-0.6017940294756577
170,-0.6829664467745389,-3.2854172945193825,-0.601223784259409
171,-0.6831492718796283,-3.285361067958541,-0.6006535390431602
172,-0.6833320969847175,-3.2853048413976995,-0.6000832938269114
173,-0.6835149220898068,-3.285248614836858,-0.5995130486106627
174,-0.6836977471948961,-3.2851923882760166,-0.598942803394414
175,-0.6838805722999853,-3.285136161715175,-0.5983725581781651
176,-0.6840633974050747,-3.2850799351543336,-0.5978023129619163
177,-0.684246222510164,-3.285023708593492,-0.5972320677456676
178,-0.6844290476152532,-3.2849674820326507,-0.5966618225294188
179,-0.6846118727203425,-3.284911255471809,-0.5960915773131701
180,-0.6847946978254318,-3.2848550289109677,-0.5955213320969213
181,-0.684977522930521,-3.2847988023501262,-0.5949510868806726
182,-0.6851603480356104,-3.2847425757892847,-0.5943808416644237
183,-0.6853431731406997,-3.2846863492284433,-0.593810596448175
184,-0.685525998245789,-3.284630122667602,-0.5932403512319262
185,-0.6857088233508782,-3.2845738961067603,-0.5926701060156775
186,-0.6858916484559675,-3.284517669545919,-0.5920998607994287
187,-0.6860744735610569,-3.2844614429850774,-0.59152961558318
188,-0.6862572986661462,-3.284405216424236,-0.5909593703669311
189,-0.6864401237712354,-3.2843489898633944,-0.5903891251506824
190,-0.6866229488763247,-3.284292763302553,-0.5898188799344336
191,-0.686805773981414,-3.2842365367417115,-0.5892486347181849
192,-0.6869885990865032,-3.28418031018087,-0.5886783895019361
193,-0.6871714241915926,-3.2841240836200285,-0.5881081442856874
194,-0.6873542492966819,-3.284067857059187,-0.5875378990694385
195,-0.6875370744017711,-3.2840116304983455,-0.5869676538531898
196,-0.6877198995068604,-3.283955403937504,-0.586397408636941
197,-0.6879027246119497,-3.2838991773766626,-0.5858271634206923
198,-0.6880855497170391,-3.283842950815821,-0.5852569182044435
199,-0.6882683748221283,-3.2837867242549796,-0.5846866729881948
200,-0.6884511999272176,-3.283730497694138,-0.584116427771946
201,-0.6886340250323069,-3.2836742711332967,-0.5835461825556971
